1, 0.5
2023-03-08 01:52:56/1/Broadcast to all machines
2023-03-08 01:52:57/2/RecFrom:process_2/QueueSize:1
2023-03-08 01:52:57/4/RecFrom:process_3/QueueSize:1
2023-03-08 01:52:58/7/RecFrom:process_3/QueueSize:1
2023-03-08 01:52:58/8/RecFrom:process_3/QueueSize:3
2023-03-08 01:52:59/9/RecFrom:process_2/QueueSize:4
2023-03-08 01:52:59/10/RecFrom:process_3/QueueSize:3
2023-03-08 01:53:00/11/RecFrom:process_2/QueueSize:3
2023-03-08 01:53:00/12/RecFrom:process_2/QueueSize:4
2023-03-08 01:53:01/15/RecFrom:process_2/QueueSize:6
2023-03-08 01:53:01/16/RecFrom:process_3/QueueSize:8
2023-03-08 01:53:02/17/RecFrom:process_3/QueueSize:10
2023-03-08 01:53:02/18/RecFrom:process_3/QueueSize:10
2023-03-08 01:53:03/19/RecFrom:process_2/QueueSize:11
2023-03-08 01:53:03/20/RecFrom:process_3/QueueSize:12
2023-03-08 01:53:04/21/RecFrom:process_2/QueueSize:12
2023-03-08 01:53:04/22/RecFrom:process_3/QueueSize:13
2023-03-08 01:53:05/23/RecFrom:process_2/QueueSize:13
2023-03-08 01:53:05/24/RecFrom:process_2/QueueSize:13
2023-03-08 01:53:06/25/RecFrom:process_3/QueueSize:14
2023-03-08 01:53:06/26/RecFrom:process_2/QueueSize:16
2023-03-08 01:53:07/27/RecFrom:process_3/QueueSize:16
2023-03-08 01:53:07/28/RecFrom:process_2/QueueSize:17
2023-03-08 01:53:08/29/RecFrom:process_2/QueueSize:17
2023-03-08 01:53:08/30/RecFrom:process_3/QueueSize:18
2023-03-08 01:53:09/31/RecFrom:process_2/QueueSize:18
2023-03-08 01:53:09/32/RecFrom:process_2/QueueSize:20
2023-03-08 01:53:10/33/RecFrom:process_2/QueueSize:19
2023-03-08 01:53:10/34/RecFrom:process_2/QueueSize:20
2023-03-08 01:53:11/36/RecFrom:process_3/QueueSize:21
2023-03-08 01:53:11/38/RecFrom:process_3/QueueSize:22
2023-03-08 01:53:12/39/RecFrom:process_2/QueueSize:23
2023-03-08 01:53:12/40/RecFrom:process_2/QueueSize:24
2023-03-08 01:53:13/41/RecFrom:process_2/QueueSize:24
2023-03-08 01:53:13/42/RecFrom:process_3/QueueSize:23
2023-03-08 01:53:14/43/RecFrom:process_2/QueueSize:24
2023-03-08 01:53:14/44/RecFrom:process_3/QueueSize:25
2023-03-08 01:53:15/46/RecFrom:process_2/QueueSize:28
2023-03-08 01:53:15/47/RecFrom:process_3/QueueSize:28
2023-03-08 01:53:16/48/RecFrom:process_2/QueueSize:29
2023-03-08 01:53:16/50/RecFrom:process_2/QueueSize:30
2023-03-08 01:53:17/51/RecFrom:process_3/QueueSize:29
2023-03-08 01:53:17/53/RecFrom:process_2/QueueSize:29
2023-03-08 01:53:18/54/RecFrom:process_3/QueueSize:30
2023-03-08 01:53:18/55/RecFrom:process_2/QueueSize:30
2023-03-08 01:53:19/56/RecFrom:process_3/QueueSize:30
2023-03-08 01:53:19/58/RecFrom:process_3/QueueSize:31
2023-03-08 01:53:20/59/RecFrom:process_3/QueueSize:32
2023-03-08 01:53:20/60/RecFrom:process_2/QueueSize:32
2023-03-08 01:53:21/61/RecFrom:process_2/QueueSize:31
2023-03-08 01:53:21/62/RecFrom:process_2/QueueSize:31
2023-03-08 01:53:22/64/RecFrom:process_3/QueueSize:34
2023-03-08 01:53:22/65/RecFrom:process_2/QueueSize:33
2023-03-08 01:53:23/66/RecFrom:process_2/QueueSize:33
2023-03-08 01:53:23/67/RecFrom:process_3/QueueSize:34
2023-03-08 01:53:24/68/RecFrom:process_2/QueueSize:36
2023-03-08 01:53:24/70/RecFrom:process_3/QueueSize:38
2023-03-08 01:53:25/74/RecFrom:process_3/QueueSize:39
2023-03-08 01:53:25/75/RecFrom:process_2/QueueSize:39
2023-03-08 01:53:26/76/RecFrom:process_3/QueueSize:39
2023-03-08 01:53:26/77/RecFrom:process_2/QueueSize:40
2023-03-08 01:53:27/78/RecFrom:process_3/QueueSize:40
2023-03-08 01:53:27/79/RecFrom:process_2/QueueSize:40
2023-03-08 01:53:28/80/RecFrom:process_3/QueueSize:41
2023-03-08 01:53:28/81/RecFrom:process_2/QueueSize:42
2023-03-08 01:53:29/82/RecFrom:process_3/QueueSize:42
2023-03-08 01:53:29/83/RecFrom:process_3/QueueSize:43
2023-03-08 01:53:30/84/RecFrom:process_3/QueueSize:43
